,Original_data,Translated_data
329,"""Eres","""Du bist es"
330,un,a
331,elefante?,Elefant
332,Soy,Ich bin
333,el,die
334,animal,Tier
335,mas,mehr
336,fuerte,stark
337,del,von der
338,mundo.,Welt
339,Si,Ja
340,eres,du bist
341,un,a
342,"elefante,",Elefant
343,te,du
344,"destrozare"".","Ich werde zerstören. """
345,El,Die
346,elefante,Elefant
347,comenzo,gestartet
348,a,a
349,reirse,lachen
350,del,von der
351,ridiculo,lächerlich
352,animal.,Tier
353,Mientras,Während
354,se,es
355,"reia,",reia
356,el,die
357,agua,Wasser
358,comenzo,gestartet
359,a,a
360,salir,komm raus
361,a,a
362,chorros,Düsen
363,de,von
364,su,seine
365,nariz.,Nase
366,El,Die
367,chorro,Jet
368,de,von
369,agua,Wasser
370,tiro,erschossen
371,a,a
372,Pequeno,Klein
373,Raton.,Maus
374,Giro,Drehen
375,y,und
376,giro,abbiegen
377,por,von
378,el,die
379,suelo,Boden
380,y,und
381,casi,fast
382,se,es
383,ahoga,ertrinken
384,en,in
385,el,die
386,agua.,Wasser
387,Cuando,Wann
388,el,die
389,raton,Maus
390,pudo,könnte
391,ponerse,zieh dich an
392,de,von
393,"pie,",Fuß
394,el,die
395,elefante,Elefant
396,ya,schon
397,se,es
398,habia,hatte
399,ido.,gegangen
400,Habia,Habia
401,dejado,links
402,al,zu
403,tonto,dumm
404,raton,Maus
405,banado,gebändert
406,en,in
407,un,a
408,charco,Pfütze
409,de,von
410,agua.,Wasser
411,"""Veo","""Ich verstehe"
412,que,was
413,el,die
414,elefante,Elefant
415,sabia,weise
416,que,was
417,poderoso,mächtig
418,"soy"",","Ich bin "","
419,se,es
420,dijo,sagte
421,a,a
422,si,ja
423,mismo,gleich
424,Pequeno,Klein
425,Raton.,Maus
426,"""Huyo","""Huyo"
427,durante,während
428,la,die
429,terrible,schrecklich
430,tormenta.,sturm
431,Sabia,Weise
432,que,was
433,lo,was
434,habria,Ich hätte
435,"destrozado"".","zerstört. """
436,,
437,Pequeno,Klein
438,Raton,Maus
439,le,er
440,conto,conto
441,a,a
442,su,seine
443,tio,Onkel
444,como,als
445,el,die
446,elefante,Elefant
447,habia,hatte
448,huido,floh
449,en,in
450,lugar,platzieren
451,de,von
452,pelear.,kämpfen
453,Su,Dein
454,tio,Onkel
455,se,es
456,lo,was
457,conto,conto
458,a,a
459,sus,dein
460,amigos.,Freunde
461,Sus,Dein
462,amigos,Freunde
463,se,es
464,lo,was
465,dijeron,sagten sie
466,a,a
467,todos,alle
468,los,die
469,animales,Tiere
470,del,von der
471,mundo.,Welt
472,Incluso,Sogar
473,las,die
474,personas,Menschen
475,escucharon,hörte zu
476,la,die
477,version,Version
478,de,von
479,la,die
480,historia,Geschichte
481,de,von
482,Pequeno,Klein
483,Raton.,Maus
484,"Ahora,",Jetzt
485,todo,alles
486,el,die
487,mundo,Welt
488,cree,glauben
489,que,was
490,los,die
491,elefantes,Elefanten
492,tienen,sie haben
493,miedo,angst
494,a,a
495,los,die
496,ratones.,Mäuse
497,Solo,Nur
498,el,die
499,elefante,Elefant
500,sabe,weiß es
501,la,die
502,verdad.,Wahrheit
503,De,Von
504,"hecho,",Tatsache
505,cada,jeder
506,vez,Zeit
507,que,was
508,un,a
509,elefante,Elefant
510,intenta,versuche es
511,tomar,nehmen
512,"agua,",Wasser
513,todavia,immer noch
514,se,es
515,rie,lachen
516,y,und
517,sopla,Schlag
518,agua,Wasser
519,por,von
520,la,die
521,nariz.,Nase
522,,
